id,caseNumber,occurredAt,primaryType,secondaryType,latitude,longitude,personId,firstName,lastName,gender,race,birthYear
POL_21b5eebd0c97434d0330288b010d421f9ea171aacf5eb012120bf0fcb3fe6b0f,B871398515,2026-01-31T07:35:07Z[UTC],OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,51.528245,0.075747,POL_0382056754,ANDREW,SMITH,MALE,BLACK,1998
POL_dc2a96d56b7be03772dc4deb5cca299a37242ccd7e8a4e9497dda3152710d44a,B871363425,2026-01-31T07:35:07Z[UTC],ASSAULT,SIMPLE,51.509103,-0.196379,POL_0382169843,JACOB,DAWSON,MALE,BLACK,1995
POL_ae9af388423ebe00638e3c760fc5915ce6f1c68f3a32cfea2879a6d6f321a681,B871434373,2026-01-31T07:35:07Z[UTC],NARCOTICS,POSS: HEROIN(WHITE),51.512093,-0.034345,POL_0382170139,JON,SIMS,MALE,BLACK,1970
POL_5e848a12de91294d14eb8b19794a78dedc265753ba7daa3317469902667148d8,B871461170,2026-01-31T07:35:07Z[UTC],NARCOTICS,POSSESS - HEROIN (WHITE),51.540037,-0.196353,POL_0382128478,ANDREW,SCOTT,MALE,BLACK,1956
POL_9cc9bf3413086756e38bb98787c5786d6018ac60eef08cf64c1cd79b9f3621ab,B871473696,2026-01-31T07:35:07Z[UTC],NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,51.66451,-0.013671,POL_0382152817,EARL,WHITE,MALE,BLACK,1975
POL_ecf00970e618032c45305038499aca3a5e438d36ee93e0ac00547c6de5b65e7d,B871410968,2026-01-31T07:35:07Z[UTC],SEX OFFENSE,CRIMINAL SEXUAL ABUSE,51.472623,-0.065619,POL_0382200712,MATTHEW,REYNOLDS,MALE,BLACK,1983
POL_73fd4db04d8846c6874a72794c0f1be6,B871466348,2026-01-31T07:35:07Z[UTC],NARCOTICS,POSS: HEROIN(WHITE),51.525515,-0.124747,POL_0382209987,SETH,CHOI,MALE,WHITE,1989
POL_f9fd254d8a6c46eb71631df1ac57551915e71136c8b2dd3e0703e29699b20ccd,B871398214,2026-01-31T07:35:07Z[UTC],ASSAULT,SIMPLE,51.526099,0.11678,POL_0382143302,DANIEL,MCCORMICK,MALE,WHITE HISPANIC,1996
POL_bb76ca4296c1862eff0a79d6e3b2b2e2581d13a0c17e4fcf49f7401bfe656069,B871399048,2026-01-31T07:35:07Z[UTC],SEX OFFENSE,INDECENT SOLICITATION/CHILD,51.508164,-0.411257,POL_0382167655,JESSE,LAMB,MALE,BLACK,1997
POL_74f9eb75828193f1efe2e1a5b205d6bac721fb5343e07ba4bed065d79c148735,B871399019,2026-01-31T07:35:07Z[UTC],NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,51.599886,0.098322,POL_0382167468,RUSSELL,HOOVER,MALE,BLACK,1981
POL_a9267df3d026c76d402b6186d90964079cc92ca609aa212f83f6855bcc0dfc9f,B871410376,2026-01-31T07:35:07Z[UTC],OFFENSE INVOLVING CHILDREN,CHILD ABUSE,51.370933,-0.208107,POL_0382201053,KENDRA,CRAIG,FEMALE,BLACK,1970
POL_bc12093b7dbbaa15a0dc1c8d1d9a273ba53920b01cb3d9554ad46e2492d63db8,B871371548,2026-01-31T07:35:07Z[UTC],BATTERY,SIMPLE,51.461524,0.101179,POL_0382219116,VALERIE,BROWN,FEMALE,WHITE HISPANIC,2000
POL_803cad9cf4a30d6e2cb711dade6b4517a81151f16e18d9ab9310edb20277b5a3,B871286385,2026-01-31T07:35:07Z[UTC],NARCOTICS,POSSESS - HEROIN (WHITE),51.537627,0.012596,POL_0382224751,CRAIG,BLACK,MALE,BLACK,1963
POL_82f66c6e42a3f0970feb879fbcc4fed266801ae5c25fc611c4a5baedf8bd1b03,B871265811,2026-01-31T07:35:07Z[UTC],WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,51.505386,-0.089938,POL_0382029321,BILLY,JOHNSON,MALE,BLACK,1992
POL_a038de835e13bae3be6f385a4074ce9f34ff0eee7cc4a848bca33ace2351b620,B871282352,2026-01-31T07:35:07Z[UTC],ASSAULT,SIMPLE,51.356912,-0.195684,POL_0382183678,CHRISTIAN,MILLER,MALE,WHITE HISPANIC,1998
POL_f24ae10d8085a79048a36d71c3c31e6409ca7e14cb30592bebbd8519a9dba566,B871410341,2026-01-31T07:35:07Z[UTC],SEX OFFENSE,CRIMINAL SEXUAL ABUSE,51.52015,-0.323953,POL_0382239307,MICHAEL,REED,MALE,WHITE HISPANIC,1988
POL_b32670214251aa177da35226c75eadfb50ed7548683dd2c2f90aaceb2154dd8c,B871384065,2026-01-31T07:35:07Z[UTC],DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,51.436078,0.39181,POL_0382023220,THOMAS,LEWIS,MALE,BLACK,1994
POL_80cb910da102070d2f7c3c3c32467c10290910790b312335e3a293afc855ff85,B871355743,2026-01-31T07:35:07Z[UTC],NARCOTICS,MANU/DELIVER: HEROIN (WHITE),51.56391,-0.210933,POL_0382217958,JARED,CAREY,MALE,BLACK,1985
POL_dd3084c6fcea37edcee241fcf0ee8eba45798e4cebc082cdb82ce6dbf9d3bb68,B871489081,2026-01-31T07:35:07Z[UTC],NARCOTICS,POSS: HEROIN(WHITE),51.381385,-0.284594,POL_0382048882,ALEX,FOX,MALE,BLACK,1991
POL_6dde4ba54a20c9bc9436139fe78d49e47b621ad7e26867540624fd3546517acd,B871537343,2026-01-31T07:35:07Z[UTC],NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,51.539047,-0.095047,POL_0382147993,JAMES,BROCK,MALE,BLACK,1979
POL_75b8bd3e8d800185babdf0613edf7c588656f05adb0d3dc7d42ed9d115e59d2c,B871514874,2026-01-31T07:35:07Z[UTC],NARCOTICS,POSS: COCAINE,51.425553,0.045226,POL_0382146684,AARON,PEREZ,MALE,WHITE HISPANIC,1977
POL_4274169d9d68cc82ae0184117f918ed295e3cb040f1fe870ae7e4b02e8c204f1,B871397734,2026-01-31T07:35:07Z[UTC],DECEPTIVE PRACTICE,FORGERY,51.622088,0.049385,POL_0382152674,ELIZABETH,MAY,FEMALE,WHITE,1993
POL_63e6040da9fa072f72d8015b7834ca1f07a9f7e6b14f137d6f933631825f379d,B871486006,2026-01-31T07:35:07Z[UTC],NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,51.529206,-0.396742,POL_0382048612,ADAM,GALLAGHER,MALE,BLACK,1972
POL_9f30713e3adf95ccc4900173d32c18d1b0555a90d3cde0f711114dde1997b3d2,B871414444,2026-01-31T07:35:07Z[UTC],NARCOTICS,MANU/DELIVER: HEROIN (WHITE),51.537207,-0.135542,POL_0382152788,CLINTON,VEGA,MALE,BLACK,2001
POL_0f404469123b6ef514099dcc0bef63b8dfee76919a4e11e80cf9678f2ef042d8,B871450368,2026-01-31T07:35:07Z[UTC],NARCOTICS,POSSESS - HEROIN (WHITE),51.534855,-0.138075,POL_0382014796,BRENDA,JONES,FEMALE,BLACK,2001
POL_53071f5fe7117e9107e873cb497a3843ee0c0b83f4ea11500b2db1d869ec4ba5,B871510203,2026-01-31T07:35:07Z[UTC],NARCOTICS,POSS: HEROIN(WHITE),51.486588,0.102605,POL_0382040935,SETH,GORDON,MALE,BLACK,1963
POL_a0e432a103e3a0a8d8281421516374f60d458a85633185daa37f15322a63d0b8,B871355467,2026-01-31T07:35:07Z[UTC],WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,51.524917,0.05328,POL_0382138284,RICKY,KNIGHT,MALE,WHITE HISPANIC,1998
POL_ebc231d05d0a4983b8e61e5d655ae83b85c148c64c7a39735c3abe45acb4c178,B871351965,2026-01-31T07:35:07Z[UTC],BATTERY,DOMESTIC BATTERY SIMPLE,51.476117,-0.219209,POL_0382121003,PHILIP,CASE,MALE,BLACK,1965
POL_d19e954d5597bca17dfc77da4b34fca777db3e0332d4cd38f7e49ae0b22dd827,B871509793,2026-01-31T07:35:07Z[UTC],NARCOTICS,POSS: HEROIN(WHITE),51.537088,0.142092,POL_0382086615,SCOTT,BENNETT,MALE,BLACK,1962
POL_ed2ff6a9de7d4587dd4160d9d40e56fe,B871339935,2026-01-31T07:35:07Z[UTC],BATTERY,SIMPLE,51.566451,0.063707,POL_0382095967,NATHAN,GARCIA,MALE,BLACK,1979
POL_65bf3bf28b4f115d5c728b4deb26c36d22c01014c0a26af39090b23cfe92a2ad,B871385666,2026-01-31T07:35:07Z[UTC],CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,51.47268,-0.070825,POL_0382209350,CHRISTOPHER,PIERCE,MALE,WHITE,1952
POL_cff1cc91b45b43dac32bd1109ad20ec064f30a1455e2e89200e008338c958631,B871393503,2026-01-31T07:35:07Z[UTC],SEX OFFENSE,PUBLIC INDECENCY,51.531449,-0.027052,POL_0382119482,BRETT,JONES,MALE,WHITE,1997
POL_a7d89fde73dcf856b463fa56f9e9a3ad9b55e7b1026297c049ece0f2477cf93c,B871384856,2026-01-31T07:35:07Z[UTC],OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,51.544026,-0.044565,POL_0382104890,NANCY,BURKE,FEMALE,WHITE HISPANIC,1982
POL_9d29eadff1df115b8f8c0f4915e5ea9cca5e559f0a01dfd6a3885a707989ffe0,B871439917,2026-01-31T07:35:07Z[UTC],CONCEALED CARRY LICENSE VIOLATION,OTHER,51.529849,-0.123588,POL_0382097583,THOMAS,MCLAUGHLIN,MALE,BLACK,1992
POL_0695bba7d2a22b4e1f2196ecac6e564d6d1dfa3922a724d28c0db44b7bc4a719,B871369261,2026-01-31T07:35:07Z[UTC],ASSAULT,SIMPLE,51.557637,-0.109635,POL_0382146134,SAMUEL,MURRAY,MALE,BLACK,1965
